time,consideration,liking,awareness,promotion,advertising,price,vol
1,14.26000023,5.136000156,26.78000069,2.390000105,449.571991,4.348999977,1280.439973
2,16.77000046,5.010000229,29.93000031,4.900000095,483.4159851,4.406000137,1129.62997
3,17.17000008,4.901000023,29.62999916,3.799999952,374.1099854,4.203000069,1059.380054
4,16.45999908,5.093999863,27.11000061,2.940000057,567.1099854,4.144999981,933.6100221
5,18.43000031,4.943999767,31.77000046,2.809999943,418.7770081,4.211999893,826.3599873
6,15.53999996,4.991000175,30.26000023,4.329999924,847.1589966,4.140999794,999.5999932
7,14.67000008,4.827000141,26.90999985,5.739999771,1061.503052,4.116000175,932.0899844
8,15.39999962,4.839000225,27.60000038,4.400000095,338.2839966,4.125,1111.860037
9,12.73999977,4.816999912,27.61000061,3.670000076,364.2009888,4.176000118,817.7400231
10,15.26000023,4.743999958,26.30999947,3.109999895,822.9199829,4.234000206,971.0999727
11,15.78999996,4.894000053,28.81999969,2.630000114,765.2940063,4.277999878,1036.820054
12,15.60000038,5.199999809,26.20999908,1.519999981,628.0900269,4.25,1058.339953
13,13.35999966,4.933000088,21.89999962,5.150000095,146.3509979,4.150000095,1113.839984
14,16.17000008,5.104000092,28.01000023,2.730000019,339.9609985,4.102000237,1414.499998
15,16.36000061,5.074999809,24.48999977,2.880000114,501.7099915,4.120999813,1277.940035
16,18.60000038,4.872000217,27.21999931,2.609999895,576.5620117,4.102000237,1514.199972
17,16.52000046,5.085000038,26.97999954,4.929999828,247.5769958,4.282000065,1404.199958
18,17.28000069,5.171999931,26.05999947,4.429999828,47.10699844,4.022999763,1037.760019
19,16.12999916,5.096000195,21.40999985,4.590000153,0,3.914999962,1113.999963
20,16.31999969,5.146999836,21.81999969,2.75,196.3540039,4.159999847,1329.789996
21,15.05000019,5.113999844,22.85000038,2.599999905,471.8299866,4.309999943,1122.939944
22,14.35999966,4.774000168,21.88999939,2.190000057,126.0749969,4.335999966,998.5799789
23,14.18999958,4.912000179,20.79000092,4.110000134,0,4.290999889,956.5600157
24,13.21000004,4.732999802,18.53000069,4.340000153,0,3.769000053,1045.740008
25,13.65999985,4.750999928,25.14999962,6.150000095,671.0809937,4.156000137,945.99998
26,15.01000023,4.84100008,22.98999977,6.150000095,658.1220093,4.05700016,1025.539994
27,16,5.130599976,26.57999992,3.660000086,711,4.050000191,987.7200127
28,15.68999958,4.798500061,21.32999992,5.949999809,615,4.210000038,1084.869981
29,15.23999977,4.904699802,23.36000061,9.68999958,623,4.21999979,1067.420006
30,15.55000019,5.043799877,28.10000038,10.71000004,111,4.300000191,1096.359968
31,16.13999939,5.093599796,17.87000084,12.89999962,0,4.159999847,922.4799871
32,14.60000038,5.105999947,19.52000046,13.01000023,0,4.21999979,1186.980009
